convID,messageID,message,Intent Identified,Correct/Incorrect,Entity Identified,Correct/Incorrect
1,1-1,"Provide a summary of chapter 11","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 11.0
shloka-verse: null", 
1,1-2,"Show verse 11.11 from chapter 11","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 11.0
sloka-number: 11.11", 
1,1-3,"No","shloka.search - no", ,"", 
1,1-4,"Thank you for the explanation","", ,"", 
2,2-1,"Display verse 10.10 from chapter 10","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 10.0
shloka-verse: Shloka", 
2,2-2,"Yes","", ,"", 
2,2-3,"Show the previous verse","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
2,2-4,"How do these verses explain divine grace?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
3,3-1,"Namaste","Default Fallback Intent", ,"", 
3,3-2,"Please show all verses of chapter 9","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 9.0
shloka-verse: Shloka", 
3,3-3,"Thank you","", ,"", 
3,3-4,"Which verse describes Krishna's impartiality?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
4,4-1,"Give a summary of chapter 8","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 8.0
shloka-verse: null", 
4,4-2,"Show verse 8.8 from chapter 8","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 8.0
shloka-verse: Shloka", 
4,4-3,"How does this verse explain constant meditation?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
5,5-1,"Display verse 7.7 of chapter 7","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 7.0
shloka-verse: Shloka", 
5,5-2,"Yes","", ,"", 
5,5-3,"Show the next verse","get.next.sloka", ,"shloka-verse: Shloka", 
5,5-4,"How do these verses describe Krishna's supreme nature?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
6,6-1,"Jai Shri Krishna!","Default Welcome Intent", ,"person: [object Object]", 
6,6-2,"Please show verse 6.6 from chapter 6","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 6.0
sloka-number: 6.6", 
6,6-3,"No","shloka.search - no", ,"", 
6,6-4,"I appreciate your assistance","", ,"", 
7,7-1,"verse 5 of chapter 5","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: 
chapter-number: 5.0, 5.0
sloka-number: ", 
