convID,messageID,message,Intent Identified,Correct/Incorrect,Entity Identified,Correct/Incorrect
1,1-1,"Provide a summary of chapter 11","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 11.0
shloka-verse: null",Correct
1,1-2,"Show all shlokas from chapter 11","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 11.0
shloka-verse: Shloka",Correct
1,1-3,"No","",Incorrect,"",Correct
1,1-4,"Thank you for the explanation","appreciate",Correct,"",Correct
2,2-1,"Display verse 10.10 from chapter 10","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 10.0
sloka-number: 10.1",Incorrect
2,2-2,"Yes","shloka.search - yes",Correct,"",Correct
2,2-3,"Show the previous verse","get.previous.sloka",Correct,"number: null
shloka-verse: Shloka",Correct
2,2-4,"How do these verses explain divine grace?","Default Fallback Intent",Correct,"",Correct
3,3-1,"Namaste","Default Fallback Intent",Correct,"",Correct
3,3-2,"Please show all verses of chapter 9","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 9.0
shloka-verse: Shloka",Correct
3,3-3,"Thank you","appreciate",Correct,"",Correct
3,3-4,"Which verse describes Krishna's impartiality?","Default Fallback Intent",Correct,"",Correct
4,4-1,"Give a summary of chapter 8","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 8.0
shloka-verse: null",Correct
4,4-2,"Show verse 8.8 from chapter 8","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 8.0
sloka-number: 8.8",Correct
4,4-3,"How does this verse explain constant meditation?","Default Fallback Intent",Correct,"",Correct
5,5-1,"Display verse 7.7 of chapter 7","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 7.0
sloka-number: 7.7",Correct
5,5-2,"Yes","shloka.search - yes",Correct,"",Correct
5,5-3,"Show the next verse","get.next.sloka",Correct,"shloka-verse: Shloka",Correct
5,5-4,"How do these verses describe Krishna's supreme nature?","Default Fallback Intent",Correct,"",Correct
6,6-1,"Jai Shri Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
6,6-2,"Please show verse 6.6 from chapter 6","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 6.0
sloka-number: 6.6",Correct
6,6-3,"No","shloka.search - no",Correct,"",Correct
6,6-4,"I appreciate your assistance","appreciate",Correct,"",Correct
7,7-1,"verse 5 of chapter 5","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 5.0
sloka-number: 5.0",Correct
7,7-2,"Can you share verse 0?","get.previous.sloka",Incorrect,"number: 0.0
shloka-verse: Shloka",Incorrect
7,7-3,"Yes","get.previous.sloka - yes",Correct,"",Correct
7,7-4,"How does this verse describe the wise person?","Default Fallback Intent",Correct,"",Correct
8,8-1,"Show all verses from chapter 4","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 4.0
shloka-verse: Shloka",Correct
8,8-2,"Thank you","appreciate",Correct,"",Correct
8,8-3,"Which verse talks about the nature of action and inaction?","Default Fallback Intent",Correct,"",Correct
9,9-1,"Provide a summary of chapter 3","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 3.0
shloka-verse: null",Correct
9,9-2,"How does this chapter explain karma yoga?","Default Fallback Intent",Correct,"",Correct
10,10-1,"Hare Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
10,10-2,"Could you show verse 1.4 of chapter 2?","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 2.0
sloka-number: 1.4",Correct
10,10-3,"Yes","shloka.search - yes",Correct,"",Correct
10,10-4,"What does Krishna say to Arjuna in this verse?","Default Fallback Intent",Correct,"",Correct
11,11-1,"Give a summary of chapter 1","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 1.0
shloka-verse: null",Correct
11,11-2,"Show verse 1.1 from chapter 1","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 1.0
sloka-number: 1.1",Correct
11,11-3,"No","shloka.search - no",Correct,"",Correct
11,11-4,"Thank you for the insights","appreciate",Correct,"",Correct
12,12-1,"Display shloka 19  from chapter 18","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 18.0
sloka-number: 19.0",Correct
12,12-2,"Yes","shloka.search - yes",Correct,"",Correct
12,12-3,"Show the previous verse","get.previous.sloka",Correct,"number: null
shloka-verse: Shloka",Correct
12,12-4,"How do these verses explain the factors of action?","Default Fallback Intent",Correct,"",Correct
13,13-1,"Namaste","Default Fallback Intent",Correct,"",Correct
13,13-2,"Thank you","appreciate",Correct,"",Correct
13,13-3,"Please show all verses of chapter 17","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 17.0
shloka-verse: Shloka",Correct
13,13-4,"Which verse explains the three types of faith?","Default Fallback Intent",Correct,"",Correct
14,14-1,"Provide a summary of chapter 16","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 16.0
shloka-verse: null",Correct
14,14-2,"Show verse 16.16 from chapter 16","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 16.0
sloka-number: 16.16",Correct
14,14-3,"How does this verse describe the results of desire?","Default Fallback Intent",Correct,"",Correct
15,15-1,"Show verse 15.15 of chapter 15","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 15.0
sloka-number: 15.15",Correct
15,15-2,"Yes","shloka.search - yes",Correct,"",Correct
15,15-3,"Display the next verse","get.next.sloka",Correct,"shloka-verse: Shloka",Correct
15,15-4,"How do these verses describe Krishna's all-pervasiveness?","Default Fallback Intent",Correct,"",Correct
16,16-1,"Jai Shri Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
16,16-2,"Please display verse 14.14 from chapter 14","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 14.0
sloka-number: 14.14",Correct
16,16-3,"No","shloka.search - no",Correct,"",Correct
16,16-4,"I understand, thank you for your time","appreciate",Correct,"",Correct
17,17-1,"verse 13 of chapter 13","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 13.0
sloka-number: 13.0",Correct
17,17-2,"Can you share verse 13.13?","get.previous.sloka",Incorrect,"number: 13.13
shloka-verse: Shloka",Incorrect
17,17-3,"Yes","get.previous.sloka - yes",Correct,"",Correct
17,17-4,"How does this verse describe the knowable?","Default Fallback Intent",Correct,"",Correct
18,18-1,"Show all verses from chapter 12","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 12.0
shloka-verse: Shloka",Correct
18,18-2,"Thank you","appreciate",Correct,"",Correct
18,18-3,"Which verse compares personal and impersonal worship?","Default Fallback Intent",Correct,"",Correct
19,19-1,"Give me a summary of chapter 11","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 11.0
shloka-verse: null",Correct
19,19-2,"How does this chapter describe the universal form?","Default Fallback Intent",Correct,"",Correct
20,20-1,"Hare Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
20,20-2,"Could you show verse 10.10 of chapter 10?","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 10.0
sloka-number: 10.1",Incorrect
20,20-3,"Yes","shloka.search - yes",Correct,"",Correct
20,20-4,"What does this verse say about devotion and wisdom?","Default Fallback Intent",Correct,"",Correct
21,21-1,"Provide a summary of chapter 9","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 9.0
shloka-verse: null",Correct
21,21-2,"Show verse 9.9 from chapter 9","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 9.0
sloka-number: ",Incorrect
21,21-3,"No","shloka.search",Incorrect,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 9.0
sloka-number: ",Incorrect
21,21-4,"Thank you for the explanation","appreciate",Correct,"",Correct
22,22-1,"Display versus 8.8 from chapter 8","chapter.summary",Incorrect,"chapter-adhyay: Chapter
chapter-number: 8.8, 8.0
shloka-verse: null",Incorrect
22,22-2,"Yes","",Incorrect,"",Correct
22,22-3,"Show the previous verse","get.previous.sloka",Correct,"number: null
shloka-verse: Shloka",Correct
22,22-4,"How do these verses explain constant remembrance of the Divine?","Default Fallback Intent",Correct,"",Correct
23,23-1,"Namaste","Default Fallback Intent",Correct,"",Correct
23,23-2,"Please show all verses of chapter 7","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 7.0
shloka-verse: Shloka",Correct
23,23-3,"Thank you","appreciate",Correct,"",Correct
23,23-4,"Which verse describes Krishna's two natures?","Default Fallback Intent",Correct,"",Correct
24,24-1,"Give a summary of chapter 6","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 6.0
shloka-verse: null",Correct
24,24-2,"Show verse 6.6 from chapter 6","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 6.0
sloka-number: 6.6",Correct
24,24-3,"How does this verse describe the controlled mind?","Default Fallback Intent",Correct,"",Correct
25,25-1,"Display verse 5.5 of chapter 5","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 5.0
sloka-number: 5.5",Correct
25,25-2,"Yes","shloka.search - yes",Correct,"",Correct
25,25-3,"Show the next verse","get.next.sloka",Correct,"shloka-verse: Shloka",Correct
25,25-4,"How do these verses describe the enlightened person?","",Incorrect,"",Correct
26,26-1,"Jai Shri Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
26,26-2,"Please show verse 4.4 from chapter 4","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 4.0
sloka-number: 4.4",Correct
26,26-3,"No","shloka.search - no",Correct,"",Correct
26,26-4,"I appreciate your help","appreciate",Correct,"",Correct
27,27-1,"verse 3 of chapter 3","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 3.0
sloka-number: 3.0",Correct
27,27-2,"Can you share verse 3.3?","get.previous.sloka",Incorrect,"number: 3.3
shloka-verse: Shloka",Incorrect
27,27-3,"Yes","get.previous.sloka - yes",Correct,"",Correct
27,27-4,"How does this verse explain the two paths?","Default Fallback Intent",Correct,"",Correct
28,28-1,"Show all verses from chapter 2","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 2.0
shloka-verse: Shloka",Correct
28,28-2,"Thank you","appreciate",Correct,"",Correct
28,28-3,"Which verse introduces the concept of the soul?","Default Fallback Intent",Correct,"",Correct
29,29-2,"How does this chapter set the scene for the Gita?","Default Fallback Intent",Correct,"",Correct
30,30-1,"Hare Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
30,30-2,"Could you show verse 18.18 of chapter 18?","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 18.0
sloka-number: 18.18",Correct
30,30-3,"Yes","shloka.search - yes",Correct,"",Correct
30,30-4,"What does this verse say about the constituents of action?","Default Fallback Intent",Correct,"",Correct
31,31-1,"Give a summary of chapter 17","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 17.0
shloka-verse: null",Correct
31,31-2,"Show verse 17.17 from chapter 17","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 17.0
sloka-number: 17.17",Correct
31,31-3,"No","shloka.search - no",Correct,"",Correct
31,31-4,"Thank you for the insights","appreciate",Correct,"",Correct
32,32-1,"Display version 16.16 from chapter 16","chapter.summary",Incorrect,"chapter-adhyay: Chapter
chapter-number: 16.16, 16.0
shloka-verse: null",Incorrect
32,32-2,"Yes","",Incorrect,"",Correct
