convID,messageID,message,Intent Identified,Correct/Incorrect,Entity Identified,Correct/Incorrect
1,1-1,"Provide a summary of chapter 11","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 11.0
shloka-verse: null",Correct
1,1-2,"Show verse 11.11 from chapter 11","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 11.0
sloka-number: 11.11",Correct
1,1-3,"No","shloka.search - no",Incorrect,"",Incorrect
1,1-4,"Thank you for the explanation","",Incorrect,"",Incorrect
2,2-1,"Display verse 10.10 from chapter 10","chapter.all.sloka",Incorrect,"chapter-adhyay: Chapter
chapter-number: 10.0
shloka-verse: Shloka",Correct
2,2-2,"Yes","",Incorrect,"",Incorrect
2,2-3,"Show the previous verse","get.previous.sloka",Correct,"number: null
shloka-verse: Shloka",Correct
2,2-4,"How do these verses explain divine grace?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
3,3-1,"Namaste","Default Fallback Intent",Correct,"",Incorrect
3,3-2,"Please show all verses of chapter 9","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 9.0
shloka-verse: Shloka",Correct
3,3-3,"Thank you","",Incorrect,"",Incorrect
3,3-4,"Which verse describes Krishna's impartiality?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
4,4-1,"Give a summary of chapter 8","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 8.0
shloka-verse: null",Correct
4,4-2,"Show verse 8.8 from chapter 8","chapter.all.sloka",Incorrect,"chapter-adhyay: Chapter
chapter-number: 8.0
shloka-verse: Shloka",Correct
4,4-3,"How does this verse explain constant meditation?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
5,5-1,"Display verse 7.7 of chapter 7","chapter.all.sloka",Incorrect,"chapter-adhyay: Chapter
chapter-number: 7.0
shloka-verse: Shloka",Correct
5,5-2,"Yes","",Incorrect,"",Incorrect
5,5-3,"Show the next verse","get.next.sloka",Correct,"shloka-verse: Shloka",Correct
5,5-4,"How do these verses describe Krishna's supreme nature?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
6,6-1,"Jai Shri Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
6,6-2,"Please show verse 6.6 from chapter 6","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 6.0
sloka-number: 6.6",Correct
6,6-3,"No","shloka.search - no",Incorrect,"",Incorrect
6,6-4,"I appreciate your assistance","",Incorrect,"",Incorrect
7,7-1,"verse 5 of chapter 5","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: 
chapter-number: 5.0, 5.0
sloka-number: ",Incorrect
7,7-2,"Can you share verse 5.5?","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 5.0, 5.0
sloka-number: 5.5",Correct
7,7-3,"Yes","shloka.search - yes",Incorrect,"",Incorrect
7,7-4,"How does this verse describe the wise person?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
8,8-1,"Show all verses from chapter 4","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 4.0
shloka-verse: Shloka",Correct
8,8-2,"Thank you","",Incorrect,"",Incorrect
8,8-3,"Which verse talks about the nature of action and inaction?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
9,9-1,"Provide a summary of chapter 3","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 3.0
shloka-verse: null",Correct
9,9-2,"How does this chapter explain karma yoga?","chapter.summary",Incorrect,"chapter-adhyay: Chapter
chapter-number: 
shloka-verse: null",Incorrect
10,10-1,"Hare Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
10,10-2,"Could you show verse 2.2 of chapter 2?","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 2.0
sloka-number: 2.2",Correct
10,10-3,"Yes","shloka.search - yes",Incorrect,"",Incorrect
10,10-4,"What does Krishna say to Arjuna in this verse?","Default Welcome Intent",Incorrect,"person: [object Object]",Incorrect
11,11-1,"Give a summary of chapter 1","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 1.0
shloka-verse: null",Correct
11,11-2,"Show verse 1.1 from chapter 1","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 1.0
sloka-number: 1.1",Correct
11,11-3,"No","shloka.search - no",Incorrect,"",Incorrect
11,11-4,"Thank you for the insights","",Incorrect,"",Incorrect
12,12-1,"Display verse 18.18 from chapter 18","chapter.all.sloka",Incorrect,"chapter-adhyay: Chapter
chapter-number: 18.0
shloka-verse: Shloka",Correct
12,12-2,"Yes","",Incorrect,"",Incorrect
12,12-3,"Show the previous verse","get.previous.sloka",Correct,"number: null
shloka-verse: Shloka",Correct
12,12-4,"How do these verses explain the factors of action?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
13,13-1,"Namaste","Default Fallback Intent",Correct,"",Incorrect
13,13-2,"Please show all verses of chapter 17","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 17.0
shloka-verse: Shloka",Correct
13,13-3,"Thank you","",Incorrect,"",Incorrect
